CitationNumber,Long-acting,Drug,Analyte,Route,Matrix,Dose,LambdaZHl,CAS,PubChemCID,SMILES,LambdaZHl_log
9015577,,Fluazuron,Fluazuron,Subcutaneous,Muscle,1.5,1245.3,86811-58-7,65651,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F,7.127131744530122
9015593,,Imidocarb dipropionate,Imidocarb dipropionate,Subcutaneous,Liver,3.0,1173.4,55750-06-6,9983292,CCC(=O)O.CCC(=O)O.C1CN=C(N1)C2=CC(=CC=C2)NC(=O)NC3=CC=CC(=C3)C4=NCCN4,7.067660797343984
9015577,,Fluazuron,Fluazuron,Subcutaneous,Liver,1.5,1169.89,86811-58-7,65651,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F,7.064665007132682
9019041,,Ivermectin,Ivermectin,Subcutaneous,Plasma,0.63,1128.4,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,7.028555980014052
9015593,,Imidocarb dipropionate,Imidocarb dipropionate,Subcutaneous,Kidney,3.0,992.3,55750-06-6,9983292,CCC(=O)O.CCC(=O)O.C1CN=C(N1)C2=CC(=CC=C2)NC(=O)NC3=CC=CC(=C3)C4=NCCN4,6.900025481927956
9015414,,Nitroxinil,Nitroxinil,Intramuscular,Muscle,,984.7,1689-89-0,15532,C1=C(C=C(C(=C1[N+](=O)[O-])O)I)C#N,6.892337027269294
9014113,,Triclabendazole,Triclabendazole (metabolites),Oral,Muscle,18.0,984.53,68786-66-3,50248,CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl,6.892164370951597
9015596,,Isometamidium,Isometamidium,Intramuscular,Kidney,1.0,959.25,6798-24-9,197856,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N=NNC5=CC=CC(=C5)C(=N)N)N.Cl.[Cl-],6.866151730169543
9015577,,Fluazuron,Fluazuron,Cutaneous (topical),Liver,3.0,926.14,86811-58-7,65651,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F,6.831025412203158
9016687,,Diphacinone,Diphacinone,Oral,Serum,1.5,849.6,82-66-6,6719,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O,6.744765651664699
9015595,,Isometamidium chloride,Isometamidium chloride,Intramuscular,Kidney,73.5,840.0,6798-24-9,197856,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N=NNC5=CC=CC(=C5)C(=N)N)N.Cl.[Cl-],6.733401893027835
9015370,,Imidocarb,Imidocarb,Subcutaneous,Liver,3.0,783.0,27885-92-3,21389,C1CN=C(N1)C2=CC(=CC=C2)NC(=O)NC3=CC=CC(=C3)C4=NCCN4,6.663132697267942
9015582,,Moxidectin,Moxidectin,Cutaneous (topical),Fat,0.5,753.39,113507-06-5,9832912,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,6.624583023335518
9015596,,Isometamidium,Isometamidium,Intramuscular,Liver,1.0,739.32,6798-24-9,197856,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N=NNC5=CC=CC(=C5)C(=N)N)N.Cl.[Cl-],6.605730846167074
9015370,,Imidocarb,Imidocarb,Subcutaneous,Fat,3.0,691.3,27885-92-3,21389,C1CN=C(N1)C2=CC(=CC=C2)NC(=O)NC3=CC=CC(=C3)C4=NCCN4,6.53857388439777
9014635,,Doramectin,Doramectin,Intramuscular,Muscle,,672.0,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,6.5102583420112445
9015577,,Fluazuron,Fluazuron,Cutaneous (topical),Muscle,3.0,672.0,86811-58-7,65651,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F,6.5102583420112445
9015511,,Closantel,Closantel,Intramuscular,Kidney,2.5,651.92,57808-65-8,42574,CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl,6.479921856545895
9015511,,Closantel,Closantel,Intramuscular,Serum,2.5,620.97,57808-65-8,42574,CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl,6.431282773198193
9015511,,Closantel,Closantel,Oral,Muscle,10.0,605.61,57808-65-8,42574,CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl,6.406236216187674
9015582,,Moxidectin,Moxidectin,Subcutaneous,Fat,0.2,568.16,113507-06-5,9832912,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,6.342403070954846
9015511,,Closantel,Closantel,Intramuscular,Muscle,2.5,556.24,57808-65-8,42574,CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl,6.321199857588548
9016846,,Sisapronil,Sisapronil,Subcutaneous,Plasma,2.0,552.0,856225-89-3,11236633,C1C(C1(F)F)(C2=C(N(N=C2C#N)C3=C(C=C(C=C3Cl)C(F)(F)F)Cl)N)C(F)(F)F,6.313548048088689
9018449,,Ethion,Ethion,Immersion,Fat,,541.2,563-12-2,3286,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,6.293788898144379
9017573,,Fipronil,Fluazuron,Cutaneous (topical),Plasma,1.25,504.0,120068-37-3,3352,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,6.222576270055495
9015582,,Moxidectin,Moxidectin,Subcutaneous,Kidney,0.2,489.94,113507-06-5,9832912,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,6.1942829366686585
9015414,,Nitroxinil,Nitroxinil,Intramuscular,Kidney,,484.7,1689-89-0,15532,C1=C(C=C(C(=C1[N+](=O)[O-])O)I)C#N,6.183530144914462
9014515,,Florfenicol (florfenicol amine metabolite),Florfenicol (florfenicol amine metabolite),Subcutaneous,Muscle,40.0,471.9673,76639-93-5,156406,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)N)O,6.156909705643383
9015370,,Imidocarb,Imidocarb,Subcutaneous,Kidney,3.0,469.0,27885-92-3,21389,C1CN=C(N1)C2=CC(=CC=C2)NC(=O)NC3=CC=CC(=C3)C4=NCCN4,6.150602770578476
9014111,,Triclabendazole,Triclabendazole,Oral,Fat,12.0,462.1,68786-66-3,50248,CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl,6.1357813200402544
9015511,,Closantel,Closantel,Intramuscular,Liver,2.5,460.45,57808-65-8,42574,CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl,6.1322042743391645
9016846,,Sisapronil,Sisapronil,Intravenous,Plasma,,456.0,856225-89-3,11236633,C1C(C1(F)F)(C2=C(N(N=C2C#N)C3=C(C=C(C=C3Cl)C(F)(F)F)Cl)N)C(F)(F)F,6.122492811707368
9017734,,Ivermectin,Ivermectin,Cutaneous (topical),Fat,0.5,456.0,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,6.122492811707368
9014632,,Pirlimycin,Pirlimycin,Intramammary,Liver,,447.71,79548-73-5,157385,CCC1CCNC(C1)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,6.104145703617028
9015569,,Diminazene,Diminazene diaceturate,Intramuscular,Plasma,3.56,438.67,908-54-3,5284544,CC(=O)NCC(=O)O.CC(=O)NCC(=O)O.C1=CC(=CC=C1C(=N)N)NN=NC2=CC=C(C=C2)C(=N)N,6.083747424252095
9015703,,Tilmicosin,Tilmicosin,Subcutaneous,Liver,10.0,436.6,108050-54-0,5282521,CCC1C(C=C(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CCN3CC(CC(C3)C)C)C)C)COC4C(C(C(C(O4)C)O)OC)OC,6.07901744640627
9015716,,Tilmicosin,Tilmicosin,Subcutaneous,Milk,10.0,436.2,108050-54-0,5282521,CCC1C(C=C(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CCN3CC(CC(C3)C)C)C)C)COC4C(C(C(C(O4)C)O)OC)OC,6.078100856060055
9015473,,Alpha-cypermethrin,Alpha-cypermethrin,Cutaneous (topical),Liver,3.0,425.73,67375-30-8,2912,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,6.053805344863463
9018345,,Tulathromycin,Tulathromycin,Subcutaneous,Liver,2.6,409.7,217500-96-4,9832301,CCCNCC1(C(OC(CC1(C)OC)OC2C(C(C(CC(CNC(C(C(C(OC(=O)C2C)CC)(C)O)O)C)C)(C)O)OC3C(C(CC(O3)C)N(C)C)O)C)C)O,6.015425186993635
9015940,,Closantel,Closantel,Subcutaneous,Milk,5.0,408.88,57808-65-8,42574,CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl,6.01342171690573
9017734,,Ivermectin,Ivermectin,Cutaneous (topical),Muscle,0.5,408.0,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,6.011267176855142
9016310,,Closantel,Closantel,Intramuscular,Milk,5.0,408.0,57808-65-8,42574,CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl,6.011267176855142
9015511,,Closantel,Closantel,Oral,Liver,10.0,391.81,57808-65-8,42574,CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl,5.970777030963122
9015414,,Nitroxinil,Nitroxinil,Intramuscular,Fat,,386.3,1689-89-0,15532,C1=C(C=C(C(=C1[N+](=O)[O-])O)I)C#N,5.9566142722608975
9014663,,Doramectin,Doramectin,Cutaneous (topical),Fat,0.625,360.96,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,5.888767151640029
9014663,,Doramectin,Doramectin,Cutaneous (topical),Plasma,0.5,360.0,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,5.886104034227934
9015588,,Imidocarb dipropionate,Imidocarb dipropionate,Intramuscular,Milk,6.0,360.0,55750-06-6,9983292,CCC(=O)O.CCC(=O)O.C1CN=C(N1)C2=CC(=CC=C2)NC(=O)NC3=CC=CC(=C3)C4=NCCN4,5.886104034227934
9004837,,Nitroxinil,Nitroxinil,Subcutaneous,Kidney,10.0,357.9,1689-89-0,15532,C1=C(C=C(C(=C1[N+](=O)[O-])O)I)C#N,5.880253620566057
9004837,,Nitroxinil,Nitroxinil,Subcutaneous,Muscle,10.0,350.5,1689-89-0,15532,C1=C(C=C(C(=C1[N+](=O)[O-])O)I)C#N,5.859360709327712
9018453,,Monepantel,Monepantel (sulfone metabolite),Oral,Liver,3.75,342.4,887148-69-8,44449087,CC(COC1=C(C=CC(=C1)C#N)C(F)(F)F)(C#N)NC(=O)C2=CC=C(C=C2)SC(F)(F)F,5.8359796471881475
9018952,,Danofloxacin,Danofloxacin,Subcutaneous,Interstitial fluid,6.0,341.7,112398-08-0,71335,CN1CC2CC1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F,5.8339331620477894
9014663,,Doramectin,Doramectin,Cutaneous (topical),Liver,0.625,336.0,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,5.817111162939395
9015528,,Fenbendazole,Fenbendazole,Oral,Fat,10.0,335.63,43210-67-9,3334,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,5.8160093657107765
9015582,,Moxidectin,Moxidectin,Subcutaneous,Liver,0.4,335.04,113507-06-5,9832912,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,5.81424993066689
9015545,,Deltamethrin,Deltamethrin,Cutaneous (topical),Kidney,2.0,331.16,52918-63-5,40585,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,5.802601645290293
9015601,,Levamisole,Levamisole,Intramuscular,Muscle,7.5,330.1,14769-73-4,26879,C1CSC2=NC(CN21)C3=CC=CC=C3,5.799395641888532
9014663,,Doramectin,Doramectin,Cutaneous (topical),Kidney,0.625,330.08,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,5.79933505235251
9015472,,Alpha-cypermethrin,Alpha-cypermethrin,Cutaneous (topical),Fat,,327.33,67375-30-8,2912,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,5.790968839390138
9014112,,Triclabendazole,Triclabendazole,Oral,Liver,18.0,321.01,68786-66-3,50248,CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl,5.771472278407925
9015009,,Moxidectin,Moxidectin,Subcutaneous,Plasma,0.2,319.2,113507-06-5,9832912,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,5.765817868708486
9015511,,Closantel,Closantel,Oral,Fat,10.0,317.66,57808-65-8,42574,CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl,5.760981631555029
9015521,,Permethrin,Permethrin,Cutaneous (topical),Fat,,315.7,52645-53-1,40326,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,5.75479239873151
9017734,,Ivermectin,Ivermectin,Cutaneous (topical),Kidney,0.5,312.0,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,5.74300319101461
9015553,,Rafoxanide,Rafoxanide,Oral,Fat,11.25,308.3,22662-39-1,31475,C1=CC(=CC=C1OC2=C(C=C(C=C2)NC(=O)C3=C(C(=CC(=C3)I)I)O)Cl)Cl,5.731073338135698
9015350,,Tildipirosin,Tildipirosin,Subcutaneous,Plasma,4.0,308.0,328898-40-4,24860548,CCC1C(C=C(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CCN3CCCCC3)C)C)CN4CCCCC4,5.730099786220328
9015569,,Diminazene,Diminazene diaceturate,Intramuscular,Muscle,3.56,301.79,908-54-3,5284544,CC(=O)NCC(=O)O.CC(=O)NCC(=O)O.C1=CC(=CC=C1C(=N)N)NN=NC2=CC=C(C=C2)C(=N)N,5.7097314145721745
9015511,,Closantel,Closantel,Oral,Kidney,10.0,292.31,57808-65-8,42574,CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl,5.677814886379645
9015571,,Doramectin,Doramectin,Subcutaneous,Milk,0.23,291.96,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,5.676616810008558
9016843,,Tulathromycin,Tulathromycin,Subcutaneous,Fat,2.5,290.96,217500-96-4,9832301,CCCNCC1(C(OC(CC1(C)OC)OC2C(C(C(CC(CNC(C(C(C(OC(=O)C2C)CC)(C)O)O)C)C)(C)O)OC3C(C(CC(O3)C)N(C)C)O)C)C)O,5.673185804115632
9018345,,Tulathromycin,Tulathromycin,Subcutaneous,Kidney,2.6,288.9,217500-96-4,9832301,CCCNCC1(C(OC(CC1(C)OC)OC2C(C(C(CC(CNC(C(C(C(OC(=O)C2C)CC)(C)O)O)C)C)(C)O)OC3C(C(CC(O3)C)N(C)C)O)C)C)O,5.666080610933594
9015510,,Closantel,Closantel,Intramuscular,Plasma,2.5,288.0,57808-65-8,42574,CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl,5.662960483608168
9004837,,Nitroxinil,Nitroxinil,Subcutaneous,Plasma,10.0,288.0,1689-89-0,15532,C1=C(C=C(C(=C1[N+](=O)[O-])O)I)C#N,5.662960483608168
9014640,,Enrofloxacin,Enrofloxacin (ciprofloxacin metabolite),Subcutaneous,Liver,12.5,285.34,93106-60-6,71188,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F,5.6536814551912595
9015553,,Rafoxanide,Rafoxanide,Oral,Liver,11.25,282.3,22662-39-1,31475,C1=CC(=CC=C1OC2=C(C=C(C=C2)NC(=O)C3=C(C(=CC(=C3)I)I)O)Cl)Cl,5.642970338801774
9015303,,Doramectin,Doramectin,Subcutaneous,Serum,0.54,277.99,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,5.627585145417887
9018453,,Monepantel,Monepantel (sulfone metabolite),Oral,Muscle,3.75,277.5,887148-69-8,44449087,CC(COC1=C(C=CC(=C1)C#N)C(F)(F)F)(C#N)NC(=O)C2=CC=C(C=C2)SC(F)(F)F,5.625820936790093
9014669,,Oxytetracycline,Oxytetracycline,Subcutaneous,Muscle,11.0,274.05,79-57-2,54675779,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,5.613310575141095
9014111,,Triclabendazole,Triclabendazole,Oral,Kidney,12.0,266.5,68786-66-3,50248,CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl,5.585374247358245
9015553,,Rafoxanide,Rafoxanide,Oral,Muscle,11.25,264.4,22662-39-1,31475,C1=CC(=CC=C1OC2=C(C=C(C=C2)NC(=O)C3=C(C(=CC(=C3)I)I)O)Cl)Cl,5.57746311175968
9015511,,Closantel,Closantel,Oral,Plasma,10.0,264.0,57808-65-8,42574,CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl,5.575949106934195
9017734,,Ivermectin,Ivermectin,Cutaneous (topical),Liver,0.5,264.0,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,5.575949106934195
9014307,,Florfenicol (florfenicol amine metabolite),Florfenicol (florfenicol amine metabolite),Intramuscular,Liver,20.0,246.6284,76639-93-5,156406,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)N)O,5.507882754414954
9017738,,Zilpaterol,Zilpaterol,Oral-medicated feed,Liver,,242.7,119520-05-7,3086576,CC(C)NC1CCN2C3=C(C1O)C=CC=C3NC2=O,5.491826116852868
9014635,,Doramectin,Doramectin,Subcutaneous,Kidney,,242.414,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,5.49064701242811
9015350,,Tildipirosin,Tildipirosin,Subcutaneous,Lungs,4.0,242.0,328898-40-4,24860548,CCC1C(C=C(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CCN3CCCCC3)C)C)CN4CCCCC4,5.488937730288918
9015553,,Rafoxanide,Rafoxanide,Oral,Kidney,11.25,238.8,22662-39-1,31475,C1=CC(=CC=C1OC2=C(C=C(C=C2)NC(=O)C3=C(C(=CC(=C3)I)I)O)Cl)Cl,5.475626385706052
9015706,,Trichlorfon,Trichlorfon,Cutaneous (topical),Milk,40.0,235.0,52-68-6,5853,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,5.459585518399478
9016308,,Cabergoline,Cabergoline,Intramuscular,Liver,0.01,234.47,81409-90-7,54746,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,5.457327652197582
9018995,,Ketoprofen,Ketoprofen,Subcutaneous,Muscle,3.0,233.4,22071-15-4,3825,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,5.4527537241369455
9015576,,Febantel,Febantel,Oral,Liver,7.5,232.24,58306-30-2,135449328,COCC(=O)NC1=C(C=CC(=C1)SC2=CC=CC=C2)N=C(NC(=O)OC)NC(=O)OC,5.4477713240222645
9015521,,Permethrin,Permethrin,Cutaneous (topical),Liver,,230.84,52645-53-1,40326,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,5.441724834174771
9015417,,Norgestomet,Norgestomet,Subcutaneous,Plasma,,228.0,25092-41-5,9820838,CC1CC2(C(CCC2(C(=O)C)OC(=O)C)C3C1C4CCC(=O)C=C4CC3)C,5.4293456333404055
9015601,,Levamisole,Levamisole,Intramuscular,Kidney,7.5,226.61,14769-73-4,26879,C1CSC2=NC(CN21)C3=CC=CC=C3,5.423230482659702
9014669,,Oxytetracycline,Oxytetracycline,Subcutaneous,Kidney,11.0,223.64,79-57-2,54675779,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,5.410037620629916
9015556,,"Gonadotropin, serum","Gonadotropin, serum",Intramuscular,Plasma,,220.0,9002-70-4,168009903,CC1=CC2=C(CC3=C2CCCC3C(=O)N)C=C1.CC1=CC2=C(C=C1Cl)C3=C(C2)C(CCC3)C(=O)N.CC1=CC(=CC2=C1CC3=C2CCCC3C(=O)N)Cl.C1CC(C2=C(C1)C3=C(C2)C=CC(=C3)Cl)C(=O)N,5.393627550897816
9014669,,Oxytetracycline,Oxytetracycline,Subcutaneous,Liver,11.0,219.13,79-57-2,54675779,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,5.389665165570813
